"genus","family","order","W","V","H","N","K","p"
"Dichasianthus","Brassicaceae","Brassicales",0,0,0,1,0,NA
"Dichazothece","Acanthaceae","Lamiales",0,0,0,1,0,NA
"Dichelachne","Poaceae","Poales",0,0,5,7,5,0
"Dichelostemma","Asparagaceae","Asparagales",0,0,4,6,4,0
"Dicheranthus","Caryophyllaceae","Caryophyllales",0,0,0,1,0,NA
"Dichilanthe","Rubiaceae","Gentianales",0,0,0,2,0,NA
"Dichilus","Fabaceae","Fabales",1,0,0,5,1,1
"Dichocarpum","Ranunculaceae","Ranunculales",0,0,1,18,1,0
"Dichondra","Convolvulaceae","Solanales",0,0,3,14,3,0
"Dichopogon","Asparagaceae","Asparagales",0,0,3,5,3,0
"Dichorisandra","Commelinaceae","Commelinales",0,0,1,38,1,0
"Dichosciadium","Apiaceae","Apiales",0,0,1,1,1,0
"Dichostemma","Euphorbiaceae","Malpighiales",1,0,0,2,1,1
"Dichotomanthes","Rosaceae","Rosales",0,0,0,1,0,NA
"Dichroa","Hydrangeaceae","Cornales",1,0,0,13,1,1
"Dichrocephala","Asteraceae","Asterales",0,0,0,6,0,NA
"Dichromanthus","Orchidaceae","Asparagales",0,0,0,4,0,NA
"Dichromochlamys","Asteraceae","Asterales",0,0,0,1,0,NA
"Dichrostachys","Fabaceae","Fabales",6,0,0,17,6,1
"Dickasonia","Orchidaceae","Asparagales",0,0,0,1,0,NA
"Dickinsia","Apiaceae","Apiales",0,0,0,1,0,NA
"Dicksonia","Dicksoniaceae","Cyatheales",1,0,0,9,1,1
"Dicladanthera","Acanthaceae","Lamiales",0,0,0,2,0,NA
"Diclidanthera","Polygalaceae","Fabales",0,0,0,6,0,NA
"Diclinanona","Annonaceae","Magnoliales",2,0,0,3,2,1
"Dicliptera","Acanthaceae","Lamiales",0,0,5,223,5,0
"Diclis","Scrophulariaceae","Lamiales",0,0,1,9,1,0
"Dicoelia","Phyllanthaceae","Malpighiales",1,0,0,2,1,1
"Dicoma","Asteraceae","Asterales",0,1,0,37,0,NA
"Dicoria","Asteraceae","Asterales",0,0,0,3,0,NA
"Dicorynia","Fabaceae","Fabales",1,0,0,2,1,1
"Dicoryphe","Hamamelidaceae","Saxifragales",1,0,0,13,1,1
"Dicraeanthus","Podostemaceae","Malpighiales",0,0,0,4,0,NA
"Dicraeopetalum","Fabaceae","Fabales",0,0,0,3,0,NA
"Dicranocarpus","Asteraceae","Asterales",0,0,0,1,0,NA
"Dicranoglossum","Polypodiaceae","Polypodiales",0,0,0,5,0,NA
"Dicranolepis","Thymelaeaceae","Malvales",1,0,0,20,1,1
"Dicranopteris","Gleicheniaceae","Gleicheniales",0,0,1,20,1,0
"Dicranopygium","Cyclanthaceae","Pandanales",0,0,0,54,0,NA
"Dicranostigma","Papaveraceae","Ranunculales",0,0,1,8,1,0
"Dicranostyles","Convolvulaceae","Solanales",0,3,0,15,0,NA
"Dicraspidia","Muntingiaceae","Malvales",0,0,0,1,0,NA
"Dicrastylis","Lamiaceae","Lamiales",1,0,0,34,1,1
"Dicraurus","Amaranthaceae","Caryophyllales",0,0,0,1,0,NA
"Dicrocaulon","Aizoaceae","Caryophyllales",0,0,0,7,0,NA
"Dicrocephala","Asteraceae","Asterales",0,0,0,1,0,NA
"Dictamnus","Rutaceae","Sapindales",0,0,0,1,0,NA
"Dictyandra","Rubiaceae","Gentianales",1,0,0,2,1,1
"Dictyanthus","Apocynaceae","Gentianales",0,0,0,17,0,NA
"Dictyocaryum","Arecaceae","Arecales",3,0,0,3,3,1
"Dictyocline","Thelypteridaceae","Polypodiales",0,0,0,4,0,NA
"Dictyodroma","Athyriaceae","Polypodiales",0,0,0,5,0,NA
"Dictyolimon","Plumbaginaceae","Caryophyllales",0,0,1,2,1,0
"Dictyoloma","Rutaceae","Sapindales",1,0,0,2,1,1
"Dictyoneura","Sapindaceae","Sapindales",0,0,0,2,0,NA
"Dictyophleba","Apocynaceae","Gentianales",1,0,0,6,1,1
"Dictyophragmus","Brassicaceae","Brassicales",0,0,0,3,0,NA
"Dictyopteris","Tectariaceae","Polypodiales",0,0,0,6,0,NA
"Dictyosperma","Arecaceae","Arecales",1,0,0,1,1,1
"Dictyospermum","Commelinaceae","Commelinales",0,0,0,5,0,NA
"Dictyostega","Burmanniaceae","Dioscoreales",0,0,0,1,0,NA
"Dictyoxiphium","Tectariaceae","Polypodiales",0,0,0,1,0,NA
"Dicyclophora","Apiaceae","Apiales",0,0,0,1,0,NA
"Dicymbe","Fabaceae","Fabales",2,0,0,20,2,1
"Dicymbopsis","Fabaceae","Fabales",0,0,0,2,0,NA
"Dicypellium","Lauraceae","Laurales",2,0,0,3,2,1
"Didelotia","Fabaceae","Fabales",4,0,0,12,4,1
"Didelta","Asteraceae","Asterales",2,0,0,2,2,1
"Didesmandra","Dilleniaceae","Dilleniales",0,0,0,1,0,NA
"Didesmus","Brassicaceae","Brassicales",0,0,0,2,0,NA
"Didiclis","Selaginellaceae","Selaginellales",0,0,0,1,0,NA
"Didierea","Didiereaceae","Caryophyllales",1,0,0,2,1,1
"Didiplis","Lythraceae","Myrtales",0,0,0,1,0,NA
"Didissandra","Gesneriaceae","Lamiales",1,0,0,9,1,1
"Didonica","Ericaceae","Ericales",0,0,0,4,0,NA
"Didymaea","Rubiaceae","Gentianales",0,0,1,8,1,0
"Didymanthus","Amaranthaceae","Caryophyllales",0,0,0,1,0,NA
"Didymaotus","Aizoaceae","Caryophyllales",0,0,0,1,0,NA
"Didymeles","Buxaceae","Buxales",2,0,0,3,2,1
"Didymocarpus","Gesneriaceae","Lamiales",0,0,0,87,0,NA
"Didymochlaena","Hypodematiaceae","Polypodiales",0,0,0,2,0,NA
"Didymochlamys","Rubiaceae","Gentianales",0,0,0,2,0,NA
"Didymocistus","Phyllanthaceae","Malpighiales",1,0,0,1,1,1
"Didymodoxa","Urticaceae","Rosales",0,0,1,2,1,0
"Didymoglossum","Hymenophyllaceae","Hymenophyllales",0,0,0,22,0,NA
"Didymophysa","Brassicaceae","Brassicales",0,0,0,2,0,NA
"Didymoplexiella","Orchidaceae","Asparagales",0,0,0,8,0,NA
"Didymoplexiopsis","Orchidaceae","Asparagales",0,0,0,1,0,NA
"Didymoplexis","Orchidaceae","Asparagales",0,0,1,17,1,0
"Didymopogon","Rubiaceae","Gentianales",0,0,0,1,0,NA
"Didymosalpinx","Rubiaceae","Gentianales",1,0,0,4,1,1
"Didymostigma","Gesneriaceae","Lamiales",0,0,0,3,0,NA
"Dieffenbachia","Araceae","Alismatales",0,0,6,68,6,0
"Diegodendron","Bixaceae","Malvales",1,0,0,1,1,1
"Dielitzia","Asteraceae","Asterales",0,0,1,1,1,0
"Diellia","Aspleniaceae","Polypodiales",0,0,4,6,4,0
"Dielsantha","Campanulaceae","Asterales",0,0,0,1,0,NA
"Dielsia","Restionaceae","Poales",0,0,1,1,1,0
"Dielsiocharis","Brassicaceae","Brassicales",0,0,0,2,0,NA
"Dielsiochloa","Poaceae","Poales",0,0,0,1,0,NA
"Dielsiodoxa","Ericaceae","Ericales",0,0,0,3,0,NA
"Dielsiothamnus","Annonaceae","Magnoliales",0,0,0,1,0,NA
"Dienia","Orchidaceae","Asparagales",0,0,1,6,1,0
"Dierama","Iridaceae","Asparagales",0,0,23,44,23,0
"Diervilla","Caprifoliaceae","Dipsacales",3,0,0,4,3,1
"Dieteria","Asteraceae","Asterales",0,0,0,2,0,NA
"Dieterlea","Cucurbitaceae","Cucurbitales",1,0,1,2,2,0.5
"Dietes","Iridaceae","Asparagales",0,0,5,7,5,0
"Digera","Amaranthaceae","Caryophyllales",0,0,0,1,0,NA
"Digitacalia","Asteraceae","Asterales",0,0,0,5,0,NA
"Digitalis","Plantaginaceae","Lamiales",0,0,2,25,2,0
"Digitaria","Poaceae","Poales",1,0,17,260,18,0.0555555555555556
"Diglyphosa","Orchidaceae","Asparagales",0,0,0,3,0,NA
"Dignathe","Orchidaceae","Asparagales",0,0,0,1,0,NA
"Dignathia","Poaceae","Poales",0,0,0,5,0,NA
"Digomphia","Bignoniaceae","Lamiales",1,0,0,3,1,1
"Digoniopterys","Malpighiaceae","Malpighiales",0,0,0,1,0,NA
"Diheteropogon","Poaceae","Poales",0,0,0,4,0,NA
"Diholcos","Fabaceae","Fabales",0,0,0,3,0,NA
"Dilatris","Haemodoraceae","Commelinales",0,0,3,4,3,0
"Dilkea","Passifloraceae","Malpighiales",0,0,0,11,0,NA
"Dillandia","Asteraceae","Asterales",0,0,0,2,0,NA
"Dillenia","Dilleniaceae","Dilleniales",25,0,0,58,25,1
"Dillwynia","Fabaceae","Fabales",6,0,0,22,6,1
"Dilobeia","Proteaceae","Proteales",2,0,0,2,2,1
"Dilochia","Orchidaceae","Asparagales",0,0,0,8,0,NA
"Dilochiopsis","Orchidaceae","Asparagales",0,0,0,1,0,NA
"Dilodendron","Sapindaceae","Sapindales",2,0,0,3,2,1
"Dilomilis","Orchidaceae","Asparagales",0,0,1,5,1,0
"Dilophia","Brassicaceae","Brassicales",0,0,1,2,1,0
"Dilophotriche","Poaceae","Poales",0,0,0,3,0,NA
"Dimerandra","Orchidaceae","Asparagales",0,0,1,8,1,0
"Dimeresia","Asteraceae","Asterales",0,0,1,1,1,0
"Dimeria","Poaceae","Poales",0,0,4,59,4,0
"Dimerocostus","Costaceae","Zingiberales",2,0,0,3,2,1
"Dimerostemma","Asteraceae","Asterales",0,2,1,21,1,0
"Dimetra","Oleaceae","Lamiales",0,0,0,1,0,NA
"Dimocarpus","Sapindaceae","Sapindales",3,0,0,8,3,1
"Dimorphandra","Fabaceae","Fabales",6,0,0,26,6,1
"Dimorphanthera","Ericaceae","Ericales",4,0,0,77,4,1
"Dimorphocalyx","Euphorbiaceae","Malpighiales",2,0,0,17,2,1
"Dimorphocarpa","Brassicaceae","Brassicales",0,0,0,4,0,NA
"Dimorphocoma","Asteraceae","Asterales",0,0,0,1,0,NA
"Dimorphorchis","Orchidaceae","Asparagales",0,0,1,5,1,0
"Dimorphosciadium","Apiaceae","Apiales",0,0,0,2,0,NA
"Dimorphotheca","Asteraceae","Asterales",0,0,2,19,2,0
"Dinebra","Poaceae","Poales",0,0,1,3,1,0
"Dinema","Orchidaceae","Asparagales",0,0,1,1,1,0
"Dinemagonum","Malpighiaceae","Malpighiales",1,0,0,1,1,1
"Dinemandra","Malpighiaceae","Malpighiales",1,0,0,1,1,1
"Dinetus","Convolvulaceae","Solanales",0,0,1,6,1,0
"Dinizia","Fabaceae","Fabales",1,0,0,1,1,1
"Dinklageella","Orchidaceae","Asparagales",0,0,0,4,0,NA
"Dinklageodoxa","Bignoniaceae","Lamiales",0,0,0,1,0,NA
"Dinochloa","Poaceae","Poales",0,0,0,36,0,NA
"Dinophora","Melastomataceae","Myrtales",0,0,0,1,0,NA
"Dinoseris","Asteraceae","Asterales",0,0,0,1,0,NA
"Dinosperma","Rutaceae","Sapindales",1,0,0,4,1,1
"Dintera","Plantaginaceae","Lamiales",0,0,0,1,0,NA
"Dinteranthus","Aizoaceae","Caryophyllales",0,0,0,5,0,NA
"Dioclea","Fabaceae","Fabales",6,0,0,59,6,1
"Diodella","Rubiaceae","Gentianales",0,0,1,12,1,0
"Diodia","Rubiaceae","Gentianales",0,0,0,22,0,NA
"Diodonopsis","Orchidaceae","Asparagales",0,0,0,5,0,NA
"Diodontium","Asteraceae","Asterales",0,0,0,1,0,NA
"Dioecrescis","Rubiaceae","Gentianales",1,0,0,1,1,1
"Diogenesia","Ericaceae","Ericales",1,0,0,13,1,1
"Diogoa","Olacaceae","Santalales",1,0,0,2,1,1
"Dioicodendron","Rubiaceae","Gentianales",0,0,0,1,0,NA
"Diolena","Melastomataceae","Myrtales",0,0,0,2,0,NA
"Dionaea","Droseraceae","Caryophyllales",0,0,1,1,1,0
"Dioncophyllum","Dioncophyllaceae","Caryophyllales",1,0,0,1,1,1
"Dionycha","Melastomataceae","Myrtales",0,0,0,3,0,NA
"Dionysia","Primulaceae","Ericales",0,0,10,54,10,0
"Dioon","Zamiaceae","Cycadales",11,0,0,13,11,1
"Diora","Asparagaceae","Asparagales",0,0,0,1,0,NA
"Dioscorea","Dioscoreaceae","Dioscoreales",0,0,117,613,117,0
"Dioscoreophyllum","Menispermaceae","Ranunculales",0,1,0,3,0,NA
"Diosma","Rutaceae","Sapindales",1,0,0,28,1,1
"Diospyros","Ebenaceae","Ericales",226,0,0,725,226,1
"Dipcadi","Asparagaceae","Asparagales",0,0,6,42,6,0
"Dipelta","Caprifoliaceae","Dipsacales",2,0,0,4,2,1
"Dipentodon","Dipentodontaceae","Huerteales",0,0,0,1,0,NA
"Diphaca","Fabaceae","Fabales",0,0,0,5,0,NA
"Diphalangium","Amaryllidaceae","Asparagales",0,0,0,1,0,NA
"Diphasiastrum","Lycopodiaceae","Lycopodiales",0,0,20,21,20,0
"Diphasium","Lycopodiaceae","Lycopodiales",0,0,1,1,1,0
"Diphyllarium","Fabaceae","Fabales",0,0,0,1,0,NA
"Diphylleia","Berberidaceae","Ranunculales",0,0,1,3,1,0
"Diphysa","Fabaceae","Fabales",3,0,0,21,3,1
"Diplacrum","Cyperaceae","Poales",0,0,3,9,3,0
"Diplactis","Asteraceae","Asterales",0,0,0,1,0,NA
"Diplarche","Ericaceae","Ericales",1,0,0,2,1,1
"Diplarpea","Melastomataceae","Myrtales",0,0,0,1,0,NA
"Diplarrena","Iridaceae","Asparagales",0,0,2,2,2,0
"Diplasia","Cyperaceae","Poales",0,0,0,1,0,NA
"Diplaspis","Apiaceae","Apiales",0,0,0,2,0,NA
"Diplatia","Loranthaceae","Santalales",1,0,0,4,1,1
"Diplaziopsis","Diplaziopsidaceae","Polypodiales",0,0,0,6,0,NA
"Diplazium","Athyriaceae","Polypodiales",0,0,7,211,7,0
"Diplazoptilon","Asteraceae","Asterales",0,0,0,2,0,NA
"Diplectria","Melastomataceae","Myrtales",0,0,0,1,0,NA
"Diploblechnum","Blechnaceae","Polypodiales",1,0,0,2,1,1
"Diplobryum","Podostemaceae","Malpighiales",0,0,0,4,0,NA
"Diplocentrum","Orchidaceae","Asparagales",0,0,0,2,0,NA
"Diplochita","Melastomataceae","Myrtales",0,0,0,1,0,NA
"Diploclisia","Menispermaceae","Ranunculales",0,0,0,2,0,NA
"Diplocyclos","Cucurbitaceae","Cucurbitales",0,0,1,5,1,0
"Diplodiscus","Malvaceae","Malvales",1,0,0,12,1,1
"Diploglottis","Sapindaceae","Sapindales",4,0,0,10,4,1
"Diplokeleba","Sapindaceae","Sapindales",1,0,0,2,1,1
"Diploknema","Sapotaceae","Ericales",2,0,0,7,2,1
"Diplolaena","Rutaceae","Sapindales",1,0,0,15,1,1
"Diplolepis","Apocynaceae","Gentianales",0,0,0,6,0,NA
"Diplolophium","Apiaceae","Apiales",0,0,0,7,0,NA
"Diplomeris","Orchidaceae","Asparagales",0,0,0,3,0,NA
"Diplomorpha","Thymelaeaceae","Malvales",0,0,0,1,0,NA
"Diploon","Sapotaceae","Ericales",1,0,0,1,1,1
"Diplopanax","Cornaceae","Cornales",1,0,0,2,1,1
"Diplopeltis","Sapindaceae","Sapindales",2,0,0,5,2,1
"Diplopogon","Poaceae","Poales",0,0,0,1,0,NA
"Diploprora","Orchidaceae","Asparagales",0,0,1,2,1,0
"Diplopterygium","Gleicheniaceae","Gleicheniales",0,0,1,23,1,0
"Diplopterys","Malpighiaceae","Malpighiales",4,1,0,31,4,1
"Diplorhynchus","Apocynaceae","Gentianales",1,0,0,1,1,1
"Diplosoma","Aizoaceae","Caryophyllales",0,0,0,1,0,NA
"Diplospora","Rubiaceae","Gentianales",1,0,0,23,1,1
"Diplostachyum","Selaginellaceae","Selaginellales",0,0,0,2,0,NA
"Diplostephium","Asteraceae","Asterales",1,0,0,111,1,1
"Diplostigma","Apocynaceae","Gentianales",0,0,0,1,0,NA
"Diplotaenia","Apiaceae","Apiales",0,0,0,2,0,NA
"Diplotaxis","Brassicaceae","Brassicales",0,0,4,35,4,0
"Diplotropis","Fabaceae","Fabales",3,0,0,12,3,1
"Diplusodon","Lythraceae","Myrtales",0,0,0,92,0,NA
"Diplycosia","Ericaceae","Ericales",2,0,0,111,2,1
"Dipodium","Orchidaceae","Asparagales",0,0,1,24,1,0
"Dipogon","Fabaceae","Fabales",0,0,1,1,1,0
"Dipoma","Brassicaceae","Brassicales",0,0,0,1,0,NA
"Diposis","Apiaceae","Apiales",0,0,1,3,1,0
"Dipsacus","Caprifoliaceae","Dipsacales",0,0,4,28,4,0
"Dipteracanthus","Acanthaceae","Lamiales",0,0,0,1,0,NA
"Dipteris","Dipteridaceae","Gleicheniales",0,0,0,5,0,NA
"Dipterocarpus","Dipterocarpaceae","Malvales",48,0,0,66,48,1
"Dipterocome","Asteraceae","Asterales",0,0,0,1,0,NA
"Dipterocypsela","Asteraceae","Asterales",0,0,0,1,0,NA
"Dipteronia","Sapindaceae","Sapindales",2,0,0,2,2,1
"Dipteropeltis","Convolvulaceae","Solanales",0,1,0,1,0,NA
"Dipterygia","Apiaceae","Apiales",0,0,0,1,0,NA
"Dipterygium","Capparaceae","Brassicales",0,0,0,1,0,NA
"Dipteryx","Fabaceae","Fabales",6,0,0,9,6,1
"Diptychandra","Fabaceae","Fabales",0,0,0,2,0,NA
"Diptychocarpus","Brassicaceae","Brassicales",0,0,1,1,1,0
"Dipyrena","Verbenaceae","Lamiales",1,0,0,4,1,1
"Dirachma","Dirachmaceae","Rosales",1,0,0,2,1,1
"Dirca","Thymelaeaceae","Malvales",2,0,0,4,2,1
"Dirhamphis","Malvaceae","Malvales",0,0,0,2,0,NA
"Dirichletia","Rubiaceae","Gentianales",3,0,0,5,3,1
"Disa","Orchidaceae","Asparagales",0,0,120,185,120,0
"Disanthus","Hamamelidaceae","Saxifragales",1,0,0,1,1,1
"Discaria","Rhamnaceae","Rosales",5,0,0,7,5,1
"Dischidanthus","Apocynaceae","Gentianales",0,0,0,1,0,NA
"Dischidia","Apocynaceae","Gentianales",0,0,0,116,0,NA
"Dischidiopsis","Apocynaceae","Gentianales",0,0,0,8,0,NA
"Dischisma","Scrophulariaceae","Lamiales",0,0,1,11,1,0
"Dischistocalyx","Acanthaceae","Lamiales",0,0,0,13,0,NA
"Disciphania","Menispermaceae","Ranunculales",1,0,1,26,2,0.5
"Discladium","Ochnaceae","Malpighiales",0,0,0,1,0,NA
"Discocactus","Cactaceae","Caryophyllales",0,0,0,7,0,NA
"Discocalyx","Primulaceae","Ericales",1,0,0,56,1,1
"Discocapnos","Papaveraceae","Ranunculales",0,0,0,1,0,NA
"Discocarpus","Phyllanthaceae","Malpighiales",1,0,0,4,1,1
"Discoclaoxylon","Euphorbiaceae","Malpighiales",1,0,0,4,1,1
"Discocleidion","Euphorbiaceae","Malpighiales",1,0,0,1,1,1
"Discocnide","Urticaceae","Rosales",0,0,0,1,0,NA
"Discoglypremna","Euphorbiaceae","Malpighiales",1,0,0,1,1,1
"Discolobium","Fabaceae","Fabales",0,0,0,8,0,NA
"Discophora","Stemonuraceae","Aquifoliales",1,0,0,2,1,1
"Discopleura","Apiaceae","Apiales",0,0,0,2,0,NA
"Discopodium","Solanaceae","Solanales",0,0,0,1,0,NA
"Discospermum","Rubiaceae","Gentianales",2,0,0,7,2,1
"Discostegia","Marattiaceae","Marattiales",0,0,1,1,1,0
"Discretitheca","Lamiaceae","Lamiales",0,0,0,1,0,NA
"Discyphus","Orchidaceae","Asparagales",0,0,0,1,0,NA
"Diselma","Cupressaceae","Cupressales",0,0,0,1,0,NA
"Disemma","Passifloraceae","Malpighiales",0,0,0,3,0,NA
"Disepalum","Annonaceae","Magnoliales",3,0,0,9,3,1
"Disocactus","Cactaceae","Caryophyllales",0,0,0,15,0,NA
"Disparago","Asteraceae","Asterales",1,0,0,4,1,1
"Disperis","Orchidaceae","Asparagales",0,0,5,79,5,0
"Disphyma","Aizoaceae","Caryophyllales",0,0,1,5,1,0
"Disporopsis","Asparagaceae","Asparagales",0,0,3,7,3,0
"Disporum","Colchicaceae","Liliales",0,0,3,21,3,0
"Dissanthelium","Poaceae","Poales",0,0,0,15,0,NA
"Dissiliaria","Picrodendraceae","Malpighiales",3,0,0,6,3,1
"Dissocarpus","Amaranthaceae","Caryophyllales",1,0,1,4,2,0.5
"Dissochaeta","Melastomataceae","Myrtales",0,0,0,2,0,NA
"Dissochondrus","Poaceae","Poales",0,0,0,1,0,NA
"Dissomeria","Salicaceae","Malpighiales",0,0,0,2,0,NA
"Dissothrix","Asteraceae","Asterales",0,0,0,1,0,NA
"Dissotis","Melastomataceae","Myrtales",1,0,0,21,1,1
"Distaxia","Blechnaceae","Polypodiales",0,0,0,1,0,NA
"Disteganthus","Bromeliaceae","Poales",0,0,0,3,0,NA
"Distegia","Asteraceae","Asterales",0,0,0,1,0,NA
"Distemma","Passifloraceae","Malpighiales",0,0,0,1,0,NA
"Distemonanthus","Fabaceae","Fabales",1,0,0,1,1,1
"Distephanus","Asteraceae","Asterales",0,0,0,32,0,NA
"Disterigma","Ericaceae","Ericales",4,0,0,39,4,1
"Distichia","Juncaceae","Poales",0,0,2,3,2,0
"Distichirhops","Phyllanthaceae","Malpighiales",0,0,0,3,0,NA
"Distichlis","Poaceae","Poales",0,0,1,7,1,0
"Distichochlamys","Zingiberaceae","Zingiberales",0,0,0,3,0,NA
"Distichoselinum","Apiaceae","Apiales",0,0,0,1,0,NA
"Distichostemon","Sapindaceae","Sapindales",1,0,0,6,1,1
"Distictella","Bignoniaceae","Lamiales",0,0,0,2,0,NA
"Distrianthes","Loranthaceae","Santalales",0,0,0,3,0,NA
"Distyliopsis","Hamamelidaceae","Saxifragales",2,0,0,6,2,1
"Distylium","Hamamelidaceae","Saxifragales",3,0,0,15,3,1
"Distylodon","Orchidaceae","Asparagales",0,0,0,1,0,NA
"Disynaphia","Asteraceae","Asterales",0,0,0,16,0,NA
"Disynstemon","Fabaceae","Fabales",0,0,0,1,0,NA
"Ditassa","Apocynaceae","Gentianales",0,0,0,118,0,NA
"Ditaxis","Euphorbiaceae","Malpighiales",0,0,0,50,0,NA
"Ditepalanthus","Balanophoraceae","Santalales",0,0,0,2,0,NA
"Dithyrea","Brassicaceae","Brassicales",0,0,0,2,0,NA
"Dithyrostegia","Asteraceae","Asterales",0,0,1,2,1,0
"Ditrysinia","Euphorbiaceae","Malpighiales",1,0,0,1,1,1
"Ditta","Euphorbiaceae","Malpighiales",1,0,0,2,1,1
"Dittoceras","Apocynaceae","Gentianales",0,0,0,4,0,NA
"Dittrichia","Asteraceae","Asterales",1,0,0,2,1,1
"Diuranthera","Asparagaceae","Asparagales",0,0,1,4,1,0
"Diuris","Orchidaceae","Asparagales",0,0,2,75,2,0
"Diyaminauclea","Rubiaceae","Gentianales",0,0,0,1,0,NA
"Dizygostemon","Plantaginaceae","Lamiales",0,0,0,2,0,NA
"Dizygotheca","Araliaceae","Apiales",0,0,0,2,0,NA
"Djaloniella","Gentianaceae","Gentianales",0,0,0,1,0,NA
"Djinga","Podostemaceae","Malpighiales",0,0,0,1,0,NA
"Dobera","Salvadoraceae","Brassicales",1,0,0,2,1,1
"Dobinea","Anacardiaceae","Sapindales",0,0,0,2,0,NA
"Docynia","Rosaceae","Rosales",1,0,0,2,1,1
"Dodartia","Phrymaceae","Lamiales",0,0,0,1,0,NA
"Dodecadenia","Lauraceae","Laurales",1,0,0,1,1,1
"Dodecahema","Polygonaceae","Caryophyllales",0,0,0,1,0,NA
"Dodecastigma","Euphorbiaceae","Malpighiales",2,0,0,3,2,1
"Dodecatheon","Primulaceae","Ericales",0,0,12,15,12,0
"Dodonaea","Sapindaceae","Sapindales",46,0,0,67,46,1
"Doellia","Asteraceae","Asterales",0,0,0,1,0,NA
"Doellingeria","Asteraceae","Asterales",0,0,1,11,1,0
"Doerpfeldia","Rhamnaceae","Rosales",1,0,0,1,1,1
"Dolianthus","Rubiaceae","Gentianales",0,0,0,13,0,NA
"Dolichandra","Bignoniaceae","Lamiales",1,0,0,8,1,1
"Dolichandrone","Bignoniaceae","Lamiales",3,0,0,10,3,1
"Dolichlasium","Asteraceae","Asterales",0,0,0,1,0,NA
"Dolichodelphys","Rubiaceae","Gentianales",0,0,0,1,0,NA
"Dolichoglottis","Asteraceae","Asterales",0,0,0,2,0,NA
"Dolicholobium","Rubiaceae","Gentianales",1,0,0,28,1,1
"Dolicholoma","Gesneriaceae","Lamiales",0,0,0,1,0,NA
"Dolicholus","Fabaceae","Fabales",0,0,0,3,0,NA
"Dolichometra","Rubiaceae","Gentianales",0,0,0,1,0,NA
"Dolichopentas","Rubiaceae","Gentianales",0,0,0,4,0,NA
"Dolichopetalum","Apocynaceae","Gentianales",0,0,0,1,0,NA
"Dolichopsis","Fabaceae","Fabales",0,0,2,3,2,0
"Dolichorrhiza","Asteraceae","Asterales",0,0,0,4,0,NA
"Dolichos","Fabaceae","Fabales",0,0,2,69,2,0
"Dolichostachys","Acanthaceae","Lamiales",0,0,0,1,0,NA
"Dolichostemon","Scrophulariaceae","Lamiales",0,0,0,1,0,NA
"Dolichothrix","Asteraceae","Asterales",1,0,0,1,1,1
"Dolichoura","Melastomataceae","Myrtales",0,0,0,1,0,NA
"Doliocarpus","Dilleniaceae","Dilleniales",5,0,0,54,5,1
"Dolomiaea","Asteraceae","Asterales",0,0,0,15,0,NA
"Dombeya","Malvaceae","Malvales",4,0,0,221,4,1
"Domeykoa","Apiaceae","Apiales",0,0,0,4,0,NA
"Domingoa","Orchidaceae","Asparagales",0,0,2,5,2,0
"Donatia","Stylidiaceae","Asterales",0,0,2,2,2,0
"Donax","Marantaceae","Zingiberales",0,0,1,1,1,0
"Donella","Sapotaceae","Ericales",1,0,0,1,1,1
"Doniophyton","Asteraceae","Asterales",1,0,0,2,1,1
"Donnellsmithia","Apiaceae","Apiales",0,0,1,19,1,0
"Donnellyanthus","Rubiaceae","Gentianales",0,0,0,1,0,NA
"Dontostemon","Brassicaceae","Brassicales",0,0,1,13,1,0
"Doodia","Blechnaceae","Polypodiales",0,0,1,4,1,0
"Dopatrium","Plantaginaceae","Lamiales",0,0,0,14,0,NA
"Doratoxylon","Sapindaceae","Sapindales",1,0,0,5,1,1
"Dorema","Apiaceae","Apiales",0,0,0,12,0,NA
"Dorobaea","Asteraceae","Asterales",0,0,0,3,0,NA
"Doronicum","Asteraceae","Asterales",0,0,5,39,5,0
"Dorotheanthus","Aizoaceae","Caryophyllales",0,0,0,8,0,NA
"Dorstenia","Moraceae","Rosales",0,1,1,117,1,0
"Doryanthes","Doryanthaceae","Asparagales",0,0,2,2,2,0
"Dorycnium","Fabaceae","Fabales",2,0,1,12,3,0.666666666666667
"Dorycnopsis","Fabaceae","Fabales",0,0,0,2,0,NA
"Doryopteris","Pteridaceae","Polypodiales",0,0,0,34,0,NA
"Doryphora","Atherospermataceae","Laurales",2,0,0,2,2,1
"Dorystaechas","Lamiaceae","Lamiales",0,0,0,1,0,NA
"Doryxylon","Euphorbiaceae","Malpighiales",0,0,0,1,0,NA
"Dossinia","Orchidaceae","Asparagales",0,0,0,1,0,NA
"Douepea","Brassicaceae","Brassicales",0,0,0,2,0,NA
"Douradoa","Olacaceae","Santalales",1,0,0,1,1,1
"Dovyalis","Salicaceae","Malpighiales",7,0,0,17,7,1
"Downingia","Campanulaceae","Asterales",0,0,13,13,13,0
"Doyerea","Cucurbitaceae","Cucurbitales",0,0,0,1,0,NA
"Doyleanthus","Myristicaceae","Magnoliales",0,0,0,1,0,NA
"Draba","Brassicaceae","Brassicales",0,0,17,440,17,0
"Drabastrum","Brassicaceae","Brassicales",0,0,0,1,0,NA
"Dracaena","Asparagaceae","Asparagales",14,0,0,113,14,1
"Dracocephalum","Lamiaceae","Lamiales",0,0,8,74,8,0
